"","Scientific_Name","Duration","Active_Growth_Period","Foliage_Color","pH_Min","pH_Max","Precip_Min","Precip_Max","Shade_Tolerance","Temp_Min_F"
"321","Argemone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","Argemone albiflora","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"323","Argemone albiflora ssp. albiflora","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"324","Argemone mexicana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"325","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Argentina anserina","Perennial","Spring and Summer","Green",7,8,11,40,"Tolerant",-23
"327","Arisaema",NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","Arisaema dracontium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"329","Arisaema triphyllum","Perennial","Spring and Summer","Green",4.8,7,34,50,"Tolerant",-18
"330","Arisaema triphyllum ssp. pusillum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"331","Arisaema triphyllum ssp. stewardsonii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"332","Arisaema triphyllum ssp. triphyllum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"333","Aristida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Aristida adscensionis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"335","Aristida dichotoma","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"336","Aristida dichotoma var. curtissii","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"337","Aristida dichotoma var. dichotoma","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"338","Aristida lanosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"339","Aristida longespica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"340","Aristida longespica var. geniculata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"341","Aristida longespica var. longespica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"342","Aristida oligantha","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"343","Aristida purpurascens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"344","Aristida purpurascens var. purpurascens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"345","Aristida purpurascens var. virgata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"346","Aristida tuberculosa","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"347","Aristolochia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Aristolochia clematitis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"349","Aristolochia macrophylla","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"350","Aristolochia serpentaria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"351","Armoracia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","Armoracia rusticana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"353","Arnica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Arnica acaulis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"355","Arnoglossum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Arnoglossum atriplicifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"357","Arnoglossum reniforme","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"358","Arrhenatherum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Arrhenatherum elatius","Perennial","Spring","Green",5,7,32,50,"Intermediate",-38
"360","Arrhenatherum elatius var. bulbosum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"361","Arrhenatherum elatius var. elatius","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"362","Artemisia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Artemisia abrotanum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"364","Artemisia absinthium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"365","Artemisia annua","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"366","Artemisia biennis","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"367","Artemisia biennis var. biennis","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"368","Artemisia ludoviciana","Perennial","Spring and Summer","White-Gray",6,9,10,60,"Intolerant",-33
"369","Artemisia ludoviciana ssp. ludoviciana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"370","Artemisia pontica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"371","Artemisia scoparia","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"372","Artemisia stelleriana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"373","Artemisia vulgaris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"374","Arthraxon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Arthraxon hispidus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"376","Aruncus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Aruncus dioicus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"378","Aruncus dioicus var. dioicus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"379","Aruncus dioicus var. pubescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"380","Arundinaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Arundinaria gigantea","Perennial","Spring","Dark Green",5,6.9,24,100,"Intolerant",-23
"382","Arundinaria tecta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"383","Arundo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Arundo donax","Perennial","Spring, Summer, Fall","Green",4.8,7,35,65,"Intermediate",7
"385","Asarum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Asarum canadense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"387","Asclepias",NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Asclepias amplexicaulis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"389","Asclepias exaltata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"390","Asclepias incarnata","Perennial","Spring","Green",5,8,15,65,"Intolerant",-38
"391","Asclepias incarnata ssp. incarnata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"392","Asclepias incarnata ssp. pulchra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"393","Asclepias lanceolata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"394","Asclepias linearis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"395","Asclepias longifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"396","Asclepias purpurascens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"397","Asclepias quadrifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"398","Asclepias rubra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"399","Asclepias syriaca","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"400","Asclepias tuberosa","Perennial","Spring and Summer","Green",4.8,6.8,28,45,"Intolerant",-33
"401","Asclepias tuberosa ssp. tuberosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"402","Asclepias variegata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"403","Asclepias verticillata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"404","Asclepias viridiflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"405","Asimina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Asimina triloba","Perennial","Spring and Summer","Dark Green",4.7,7.2,36,80,"Tolerant",-27
"407","Asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Asparagus officinalis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"409","Asperugo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Asperugo procumbens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"411","Asperula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Asperula arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"413","Aspicilia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Asplenium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Asplenium bradleyi","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"416","Asplenium ×ebenoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"417","Asplenium ×gravesii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"418","Asplenium montanum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"419","Asplenium ×morganii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"420","Asplenium pinnatifidum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"421","Asplenium platyneuron","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"422","Asplenium platyneuron var. platyneuron","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"423","Asplenium resiliens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"424","Asplenium rhizophyllum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"425","Asplenium ruta-muraria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"426","Asplenium ruta-muraria var. cryptolepis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"427","Asplenium ruta-muraria var. lanceolum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"428","Asplenium scolopendrium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"429","Asplenium scolopendrium var. americanum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"430","Asplenium trichomanes","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"431","Asplenium trichomanes ssp. quadrivalens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"432","Asplenium trichomanes ssp. trichomanes","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"433","Asplenium ×trudellii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"434","Asplenium ×virginicum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"435","Astilbe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Astilbe biternata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"437","Astragalus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Astragalus canadensis","Perennial","Spring, Summer, Fall","Green",6,8,20,50,"Intolerant",-38
"439","Astragalus canadensis var. canadensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"440","Astragalus distortus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"441","Astragalus distortus var. distortus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"442","Astragalus hamosus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"443","Athyrium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Athyrium filix-femina","Perennial","Spring, Summer, Fall","Green",4.5,7,30,60,"Tolerant",-38
"445","Athyrium filix-femina ssp. angustum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"446","Athyrium filix-femina ssp. asplenioides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"447","Atriplex",NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Atriplex cristata","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"449","Atriplex elegans","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"450","Atriplex elegans var. thornberi","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"451","Atriplex joaquiniana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"452","Atriplex littoralis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"453","Atriplex patula","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"454","Atriplex prostrata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"455","Atriplex rosea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"456","Aureolaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Aureolaria flava","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"458","Aureolaria flava var. flava","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"459","Aureolaria flava var. macrantha","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"460","Aureolaria laevigata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"461","Aureolaria pedicularia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"462","Aureolaria pedicularia var. intercedens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"463","Aureolaria pedicularia var. pedicularia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"464","Aureolaria virginica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"465","Avena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Avena fatua","Annual","Fall, Winter and Spring","Green",6,7.5,6,24,"Intolerant",-23
"467","Avena sativa","Annual","Spring and Summer","Green",5.3,8.5,25,100,"Intolerant",-23
"468","Axonopus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Axonopus furcatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"470","Azolla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Azolla caroliniana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"472","Baccharis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Baccharis halimifolia","Perennial","Spring, Summer, Fall","Dark Green",5.5,7.8,36,60,"Intermediate",-3
"474","Bacidia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Bacopa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Bacopa caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"477","Bacopa innominata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"478","Bacopa monnieri","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"479","Bacopa rotundifolia","Perennial","Spring, Summer, Fall","Green",5.4,7.8,24,65,"Intolerant",-33
"480","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Bahia schaffneri","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"482","Ballota",NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Ballota nigra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"484","Ballota nigra var. nigra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"485","Baptisia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Baptisia australis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"487","Baptisia australis var. australis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"488","Baptisia tinctoria","Perennial","Summer","Gray-Green",5.8,7,35,60,"Intolerant",2
"489","Barbarea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Barbarea verna","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"491","Barbarea vulgaris","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"492","Bartonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Bartonia paniculata","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"494","Bartonia paniculata ssp. paniculata","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"495","Bartonia virginica","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"496","Bassia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Bassia hirsuta","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"498","Belamcanda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","Belamcanda chinensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"500","Bellis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","Bellis perennis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"502","Berberis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","Berberis canadensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"504","Berberis thunbergii","Perennial","Spring and Summer","Dark Green",5.5,7.2,30,60,"Intolerant",-28
"505","Berberis vulgaris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"506","Berchemia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Berchemia scandens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"508","Berteroa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","Berteroa incana","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"510","Betula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","Betula alleghaniensis","Perennial","Spring and Summer","Green",4,8,25,80,"Intermediate",-47
"512","Betula alleghaniensis var. alleghaniensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"513","Betula alleghaniensis var. macrolepis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"514","Betula lenta","Perennial","Spring and Summer","Green",3.6,6.8,29,80,"Intolerant",-26
"515","Betula nigra","Perennial","Spring and Summer","Green",3,6.5,30,80,"Intolerant",-31
"516","Betula papyrifera","Perennial","Spring and Summer","Green",4.2,7.4,12,60,"Intolerant",-62
"517","Betula papyrifera var. papyrifera","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"518","Betula populifolia","Perennial","Spring and Summer","Green",3.5,6.5,36,65,"Intermediate",-35
"519","Betula pubescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"520","Betula pubescens ssp. pubescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"521","Bidens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","Bidens aristosa","Annual, Biennial","Spring, Summer, Fall","Green",5,7,22,55,"Intermediate",52
"523","Bidens beckii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"524","Bidens bidentoides","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"525","Bidens bipinnata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"526","Bidens cernua","Annual","Spring, Summer, Fall","Green",5.1,7,32,55,"Intermediate",47
"527","Bidens connata","Annual","Spring, Summer, Fall","Green",5.2,7.1,32,55,"Intermediate",47
"528","Bidens coronata","Annual","Spring, Summer, Fall","Green",5.2,7.1,32,55,"Intermediate",52
"529","Bidens discoidea","Annual","Spring, Summer, Fall","Green",5.1,7.1,32,55,"Intermediate",52
"530","Bidens frondosa","Annual","Spring, Summer, Fall","Green",5.2,7.2,24,60,"Intermediate",47
"531","Bidens laevis","Annual, Perennial","Spring, Summer, Fall","Green",5,7,24,55,"Intermediate",52
"532","Bidens mitis","Annual","Spring, Summer, Fall","Green",5,8.6,32,55,"Intermediate",52
"533","Bidens pilosa","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"534","Bidens tenuisecta","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"535","Bidens tripartita","Annual","Spring, Summer, Fall","Green",5,7.2,32,55,"Intermediate",47
"536","Bidens vulgata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"537","Bifora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","Bifora testiculata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"539","Bignonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","Bignonia capreolata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"541","Blephilia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","Blephilia ciliata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"543","Blephilia hirsuta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"544","Blephilia hirsuta var. hirsuta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"545","Boehmeria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","Boehmeria cylindrica","Perennial","Spring","Green",5.1,7,35,50,"Tolerant",-33
"547","Boehmeria nivea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"548","Boerhavia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Boerhavia coccinea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"550","Boerhavia erecta","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"551","Boltonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Boltonia asteroides","Perennial","Summer","Green",5.3,7,22,55,"Intermediate",-38
"553","Boltonia asteroides var. asteroides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"554","Borago",NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","Borago officinalis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"556","Borrichia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","Borrichia frutescens","Perennial","Spring","Green",6.1,7.5,28,60,"Intolerant",17
"558","Bothriochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","Bothriochloa pertusa","Perennial","Spring and Summer","Green",5,7.5,20,80,"Intolerant",17
"560","Botrychium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","Botrychium biternatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"562","Botrychium dissectum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"563","Botrychium jenmanii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"564","Botrychium lanceolatum","Perennial","Spring","Green",4.4,6,32,60,"Tolerant",-33
"565","Botrychium lanceolatum var. angustisegmentum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"566","Botrychium matricariifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"567","Botrychium multifidum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"568","Botrychium oneidense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"569","Botrychium simplex","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"570","Botrychium virginianum","Perennial","Spring and Summer","Green",5.6,6.9,14,55,"Tolerant",-38
"571","Bouteloua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","Bouteloua aristidoides","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"573","Bouteloua aristidoides var. aristidoides","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"574","Bouteloua barbata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"575","Bouteloua curtipendula","Perennial","Summer","Green",5.5,8.5,6,25,"Intolerant",-43
"576","Bouteloua curtipendula var. curtipendula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"577","Bouteloua hirsuta","Perennial","Summer","Green",6,7.2,7,30,"Intolerant",-38
"578","Bouteloua hirsuta var. hirsuta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"579","Brachiaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","Brachiaria eruciformis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"581","Brachyelytrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","Brachyelytrum erectum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"583","Brasenia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","Brasenia schreberi","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"585","Brassica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Brassica juncea","Annual, Perennial","Fall, Winter and Spring","Dark Green",6,7.2,30,80,"Intolerant",17
"587","Brassica napus","Annual, Biennial","Fall, Winter and Spring","Dark Green",6,7.2,40,80,"Intolerant",17
"588","Brassica nigra","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"589","Brassica oleracea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"590","Brassica rapa","Annual, Biennial","Spring, Summer, Fall","Green",5,8,35,55,"Intermediate",-13
"591","Brassica rapa var. rapa","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"592","Brickellia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","Brickellia eupatorioides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"594","Brickellia eupatorioides var. eupatorioides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"595","Briza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Briza media","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"597","Briza minor","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"598","Bromus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Bromus arvensis","Annual","Fall, Winter and Spring","Green",5.2,7.5,26,55,"Intolerant",-23
"600","Bromus briziformis","Annual","Spring and Summer","Green",5.3,7.2,12,45,"Intolerant",47
"601","Bromus catharticus","Annual, Perennial","Fall, Winter and Spring","Green",5.5,8,18,28,"Intolerant",7
"602","Bromus ciliatus","Perennial","Spring and Summer","Green",5.5,7.5,12,40,"Tolerant",-3
"603","Bromus ciliatus var. ciliatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"604","Bromus diandrus","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"605","Bromus diandrus ssp. rigidus","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"606","Bromus hordeaceus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"607","Bromus hordeaceus ssp. hordeaceus","Annual","Fall, Winter and Spring","Green",5.5,8,12,20,"Intermediate",17
"608","Bromus inermis","Perennial","Spring, Summer, Fall","Green",5.5,8,18,60,"Intolerant",-43
"609","Bromus inermis ssp. inermis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"610","Bromus inermis ssp. inermis var. inermis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"611","Bromus kalmii","Perennial","Spring and Summer","Green",5.7,7,32,55,"Tolerant",-33
"612","Bromus latiglumis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"613","Bromus madritensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"614","Bromus nottowayanus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"615","Bromus pubescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"616","Bromus racemosus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"617","Bromus rubens","Annual","Fall, Winter and Spring","Green",6,8.2,5,16,"Intolerant",22
"618","Bromus secalinus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"619","Bromus secalinus var. secalinus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"620","Bromus sterilis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"621","Bromus tectorum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"622","Broussonetia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Broussonetia papyrifera","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"624","Buchnera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Buchnera americana","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"626","Buddleja",NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","Buddleja davidii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"628","Buglossoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Buglossoides arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"630","Bulbostylis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Bulbostylis capillaris","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"632","Bulbostylis capillaris ssp. capillaris","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"633","Bulbostylis hirta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"634","Bupleurum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Bupleurum lancifolium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"636","Bupleurum odontites","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"637","Bupleurum rotundifolium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"638","Cabomba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Cabomba caroliniana","Perennial","Summer","Gray-Green",5.7,9.2,40,60,"Intermediate",-23
"640","Cabomba caroliniana var. caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
